,feature,mean_feature,sd_feature,median_feature,min_feature,,max_feature
2,danceability,0.408,0.174,0.494,0.175,,0.562
3,energy,-0.303,0.466,-0.165,-0.905,,0.136
6,loudness,-0.029,0.381,0.041,-0.530,,0.356
7,speechiness,0.000,0.171,0.018,-0.202,,0.195
1,acousticness,0.338,0.347,0.365,-0.066,,0.760
4,instrumentalness,-0.291,0.284,-0.463,-0.490,,0.081
5,liveness,-0.223,0.038,-0.230,-0.270,,-0.166
9,valence,0.084,0.317,0.238,-0.366,,0.348
8,tempo,-0.168,0.086,-0.169,-0.297,,-0.055
