"track_genre","popularity","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"1","cantopop",34.739,-0.108855763399521,-0.714376907813988,-0.280053957606431,-0.430983573700971,0.665690437329351,-0.463345149492289,-0.113497726724222,-0.310499114724771,0.07103488299192
"2","children",35.047,0.862423992416077,-0.583382187574054,-0.228203183159448,0.0762187411796429,0.552645231876247,-0.308483378662243,-0.169142374479948,0.849410880688785,0.0398077213819069
"3","chill",53.651,0.562087774895314,-0.853419683929281,-0.437834606627479,0.165653986956994,0.659163692583956,0.0709808076125204,-0.238225571045627,-0.271150360123853,-0.222443708247442
"4","edm",35.032,0.469165117161582,0.456461124553524,0.592237620712388,-0.134926636292787,-0.603386815662831,-0.374721134481423,-0.10813050143732,-0.034212352690812,-0.00368728945801473
"5","iranian",2.21,-1.53342591178761,-0.379824313155196,-0.958651800796103,0.0601706748279361,0.288759538834878,1.40136326308994,-0.112944090449766,-1.2363284542392,-0.246127987922198
"6","k-pop",56.896,0.466353120573832,0.136251614044708,0.355550939343864,0.0318955103035003,-0.0659860765230101,-0.472359404686655,-0.195698005875978,0.319550369907309,-0.0968660088935846
"7","latin",8.297,0.893742028183337,0.340705120133784,0.59557841914881,0.0801172636632435,-0.395571870936397,-0.474463856396579,-0.206227600522802,0.605878747739578,-0.0779087646832292
"8","pop-film",59.283,0.174862015270685,-0.14638808377809,0.0770157966663313,-0.194785318482764,0.378276588779367,-0.477866388405021,-0.247696218131442,0.212855212785372,-0.163130534585245
"9","rock-n-roll",34.434,-0.0950666080009831,-0.456279502575456,-0.223218828010998,-0.314665357745584,0.717049130379685,-0.458168890492124,0.0722729816646616,0.757621548354651,-0.0586366249497985
"10","romance",3.245,-0.775989276809477,-1.37987613141032,-0.983582126373655,-0.187613436873558,1.66781105071646,-0.330398829043277,-0.014599588437084,-0.311090024896201,-0.415461454292236
